DateTime,Entries,UniqueIPs
1521445006,53,53
1521446912,52,52
1521449094,51,51
1521451002,50,50
1521452929,49,49
1521454836,45,45
1521456761,44,44
1521458675,46,46
1521460601,45,45
1521462512,44,44
1521464505,47,47
1521466360,46,46
1521468294,45,45
1521470199,63,63
1521472130,64,64
1521475972,64,64
1521477893,64,64
1521480070,65,65
1521481956,67,67
1521483911,67,67
1521485794,68,68
1521490722,69,69
1521494683,70,70
1521496584,69,69
1521498502,69,69
1521500545,70,70
1521502377,72,72
1521511948,70,70
1521513888,72,72
1521517706,72,72
1521519618,72,72
1521521544,73,73
1521523475,74,74
1521525375,75,75
1521527294,73,73
1521529308,74,74
1521531135,75,75
1521533072,78,78
1521534973,79,79
1521536908,81,81
1521538815,83,83
1521540763,84,84
1521542654,85,85
1521544575,85,85
1521546512,84,84
1521548427,83,83
1521550332,83,83
1521552273,81,81
1521556090,57,57
1521558062,58,58
1521561872,58,58
1521563771,58,58
1521565716,62,62
1521567614,63,63
1521570237,66,66
1521572382,67,67
1521574360,69,69
1521576382,70,70
1521581068,61,61
1521582988,60,60
1521584918,60,60
1521586946,59,59
1521588749,56,56
1521590657,55,55
1521596430,58,58
1521598337,59,59
1521600271,57,57
1521602191,53,53
1521604095,51,51
1521606141,52,52
1521607942,51,51
1521609872,50,50
1521611803,49,49
1521613695,51,51
1521615717,51,51
1521617555,50,50
1521619474,49,49
1521621375,48,48
1521623321,49,49
1521625218,47,47
1521627151,48,48
1521629065,49,49
1521630989,48,48
1521638675,49,49
1521640580,51,51
1521642514,49,49
1521644483,49,49
1521646353,50,50
1521648271,50,50
1521650218,51,51
1521652144,51,51
1521654040,51,51
1521655957,48,48
1521657866,47,47
1521659803,49,49
1521661890,45,45
1521666097,47,47
1521668866,48,48
1521670973,49,49
1521682437,49,49
1521691484,48,48
1521693635,50,50
1521695550,50,50
1521697466,52,52
1521699397,52,52
1521701575,52,52
1521703638,52,52
1521705879,50,50
1521709729,47,47
1521711893,48,48
1521713791,45,45
1521715973,44,44
1521719800,43,43
1521721727,46,46
1521723701,49,49
1521725556,50,50
1521727497,49,49
1521729412,48,48
1521731341,48,48
1521733252,48,48
1521735495,50,50
1521737322,49,49
1521739229,44,44
1521741166,42,42
1521743086,43,43
1521744985,42,42
1521746928,43,43
1521748930,44,44
1521751009,43,43
1521752933,43,43
1521754845,43,43
1521756749,44,44
1521758932,44,44
1521760834,47,47
1521764681,48,48
1521768522,46,46
1521770523,46,46
1521774281,47,47
1521776210,49,49
1521778130,50,50
1521780046,47,47
1521781959,46,46
1521783904,46,46
1521785807,45,45
1521787720,43,43
1521789647,43,43
1521793492,43,43
1521797320,42,42
1521801884,48,48
1521803784,53,53
1521807893,53,53
1521809796,52,52
1521811718,51,51
1521815131,49,49
1521816986,49,49
1521818922,50,50
1521821090,47,47
1521823009,50,50
1521826834,53,53
1521828764,54,54
1521830710,54,54
1521832596,53,53
1521834517,52,52
1521836678,51,51
1521838906,51,51
1521840755,52,52
1521842695,52,52
1521845717,49,49
1521847960,48,48
1521849884,50,50
1521851788,50,50
1521855871,51,51
1521859716,52,52
1521861618,53,53
1521863553,52,52
1521865460,51,51
1521869547,54,54
1521871476,54,54
1521873632,55,55
1521875565,55,55
1521877485,56,56
1521879391,57,57
1521881329,58,58
1521883231,59,59
1521885165,61,61
1521887082,61,61
1521888993,54,54
1521890912,52,52
1521894754,48,48
1521896694,47,47
1521898590,48,48
1521900513,50,50
1521902430,51,51
1521904360,52,52
1521910115,49,49
1521912273,49,49
1521914205,47,47
1521916108,46,46
1521918085,45,45
1521919968,44,44
1521921876,45,45
1521923829,45,45
1521925718,45,45
1521929550,44,44
1521937235,43,43
1521939145,43,43
1521941081,43,43
1521942987,42,42
1521944919,41,41
1521946945,41,41
1521951160,42,42
1521956922,38,38
1521960516,35,35
1521963479,35,35
1521965321,37,37
1521977053,33,33
1521984814,30,30
1521986846,30,30
1521988717,29,29
1521990584,27,27
1521996262,28,28
1521998255,28,28
1522000067,30,30
1522005730,30,30
1522008773,30,30
1522010772,31,31
1522012587,30,30
1522014755,34,34
1522018579,37,37
1522020770,38,38
1522022694,42,42
1522024583,44,44
1522026517,47,47
1522028433,48,48
1522030364,50,50
1522032289,52,52
1522034207,51,51
1522036102,53,53
1522039948,55,55
1522042001,57,57
1522044095,62,62
1522046047,63,63
1522047891,65,65
1522049792,63,63
1522051703,63,63
1522053622,67,67
1522055597,73,73
1522057471,75,75
1522059416,77,77
1522063230,76,76
1522065151,77,77
1522068940,78,78
1522070910,77,77
1522073085,75,75
1522075010,76,76
1522076933,75,75
1522078846,79,79
1522080872,81,81
1522082687,81,81
1522084611,81,81
1522086530,80,80
1522088432,82,82
1522090366,84,84
1522092278,87,87
1522094209,89,89
1522096118,93,93
1522098253,97,97
1522100301,95,95
1522102407,96,96
1522104538,94,94
1522107858,94,94
1522110146,93,93
1522112249,88,88
1522114101,89,89
1522116289,89,89
1522120112,89,89
1522122041,90,90
1522123969,91,91
1522125888,92,92
1522127809,90,90
1522129728,89,89
1522131864,88,88
1522133780,86,86
1522135719,94,94
1522137726,94,94
1522139562,98,98
1522141481,89,89
1522143409,92,92
1522145330,93,93
1522147948,95,95
1522152129,94,94
1522154159,95,95
1522156099,95,95
1522157968,96,96
1522160206,96,96
1522162125,97,97
1522164037,95,95
1522166220,135,135
1522168110,136,136
1522170100,136,136
1522171960,138,138
1522173896,142,142
1522175795,142,142
1522177732,143,143
1522179639,143,143
1522181575,144,144
1522183486,140,140
1522185414,142,142
1522187335,146,146
1522189671,151,151
1522191824,151,151
1522193797,155,155
1522195728,157,157
1522197634,157,157
1522199562,158,158
1522201740,157,157
1522204396,157,157
1522206292,157,157
1522208868,157,157
1522212776,160,160
1522214702,161,161
1522220280,163,163
1522223630,159,159
1522229935,158,158
1522241105,82,82
1522243443,164,164
1522246771,159,159
1522249732,158,158
1522251632,157,157
1522253632,104,104
1522276494,67,67
1522278339,59,59
1522282534,53,53
1522286701,46,46
1522288606,41,41
1522292449,39,39
1522296303,36,36
1522300124,32,32
1522303969,26,26
1522307802,21,21
1522311645,17,17
1522315487,12,12
1522319321,9,9
1522323168,5,5
1522325064,0,0
